policy_id,policy_type,policy_holder,start_date,premium_amount,region,status,created_at,last_updated
1,Motor-3rd Party,Ajay,2021-07-10,1200,Mumbai,active,2021-07-10 09:12:00,2023-05-01 10:00:00
2,Life-Term,Rekha,2024-02-14,8000,Delhi,active,2024-02-14 11:00:00,2024-06-20 12:05:00
3,Health-Family,Sunil,2022-11-01,5000,Bengaluru,lapsed,2022-11-01 08:30:00,2023-07-01 09:00:00
4,Motor-3rd Party,Meena,2019-01-02,1500,Chennai,active,2019-01-02 10:10:00,2022-12-15 14:20:00
5,Life-Term,Amit,2018-05-20,6500,Kolkata,active,2018-05-20 07:50:00,2021-03-01 16:10:00
6,Health-Family,Neha,2020-10-12,7200,Pune,active,2020-10-12 13:00:00,2024-01-10 09:40:00
7,Motor-3rd Party,Ravi,2023-03-05,1100,Hyderabad,active,2023-03-05 09:00:00,2023-12-01 10:00:00
8,Commercial-Property,XYZ Corp,2022-06-18,25000,Delhi,active,2022-06-18 10:00:00,2024-02-15 11:11:11
9,Health-Family,Sarita,2021-09-30,4300,Bengaluru,lapsed,2021-09-30 08:20:00,2022-10-01 10:55:00
10,Life-Term,Prakash,2017-12-25,12000,Ahmedabad,active,2017-12-25 12:00:00,2024-04-20 15:30:00
